GEOID,total_pop,total_crimes,crime_rate,violent_crimes,violent_rate,property_crimes,property_rate,other_crimes,other_rate,low_population,rate_reliable
42101006200,4672,12513,267829.6232876712,1443,30886.1301369863,2738,58604.45205479452,8332,178339.0410958904,False,True
42101006300,4599,13201,287040.66101326374,1469,31941.726462274404,3308,71928.68014785822,8424,183170.2544031311,False,True
42101006400,4801,10743,223765.8821078942,1140,23745.0531139346,2604,54238.70027077692,6999,145782.1287231827,False,True
42101006500,3867,10309,266589.0871476597,1285,33229.89397465736,2301,59503.49107835532,6723,173855.70209464701,False,True
42101006600,3370,19136,567833.8278931751,1873,55578.6350148368,4222,125281.89910979228,13041,386973.29376854596,False,True
42101006700,7215,20878,289369.3693693694,2200,30492.03049203049,4862,67387.38738738738,13816,191489.9514899515,False,True
42101007000,3598,9209,255947.74874930514,1060,29460.811561978877,2133,59282.934963868815,6016,167204.00222345747,False,True
42101007101,2710,10016,369594.0959409594,1015,37453.87453874538,1638,60442.804428044285,7363,271697.4169741698,False,True
42101007102,4476,12635,282283.28865058086,1380,30831.099195710452,2644,59070.59874888293,8611,192381.59070598747,False,True
42101007200,4578,11428,249628.65880297072,1367,29860.200961118393,2570,56138.05155089559,7491,163630.40629095674,False,True
42101007300,3146,8465,269071.8372536554,945,30038.14367450731,2407,76509.85378258105,5113,162523.83979656707,False,True
42101007400,4506,10811,239924.54505104304,1363,30248.557478917,2324,51575.67687527741,7124,158100.31069684864,False,True
42101007700,1946,2507,128828.3658787256,215,11048.30421377184,1035,53186.02261048304,1257,64594.03905447071,False,True
42101007800,4066,5335,131210.03443187405,596,14658.140678799802,2558,62911.95277914412,2181,53639.940973930155,False,True
42101007900,4044,5362,132591.49357072206,627,15504.451038575668,2462,60880.316518298714,2273,56206.72601384768,False,True
42101008000,3900,9380,240512.8205128205,1050,26923.076923076922,2176,55794.87179487179,6154,157794.87179487178,False,True
42101008101,3258,6946,213198.28115408227,877,26918.354818907304,1704,52302.02578268877,4365,133977.9005524862,False,True
42101008102,4786,9027,188612.62014208105,1118,23359.7994149603,1988,41537.81863769327,5921,123715.0020894275,False,True
42101008200,6202,12210,196871.97678168333,1417,22847.46855852951,2921,47097.71041599484,7872,126926.79780715899,False,True
42101008301,4751,9041,190296.77962534205,1147,24142.285834561146,2278,47947.800463060405,5616,118206.69332772047,False,True
42101008302,4586,15295,333515.0457915395,1731,37745.31181857828,2647,57719.1452245966,10917,238050.5887483646,False,True
42101008400,4864,17247,354584.7039473684,1795,36903.78289473684,4452,91529.6052631579,11000,226151.31578947368,False,True
42101008500,6272,20500,326849.48979591834,2487,39652.42346938775,4509,71890.94387755102,13504,215306.1224489796,False,True
42101008601,3355,4098,122146.05067064083,437,13025.335320417289,1905,56780.92399403875,1756,52339.791356184796,False,True
42101008602,3126,10103,323192.57837492,1111,35540.6269993602,3470,111004.4785668586,5522,176647.47280870122,False,True
42101008701,3318,5169,155786.6184448463,452,13622.664255575648,2869,86467.75165762508,1848,55696.20253164557,False,True
42101008702,2601,4701,180738.17762399078,319,12264.513648596694,2767,106382.16070742022,1615,62091.50326797386,False,True
42101008801,2073,3590,173178.96767969127,183,8827.785817655571,2049,98842.25759768451,1358,65508.92426435119,False,True
42101008802,5956,8416,141302.88784419073,548,9200.805910006717,4142,69543.31766286098,3726,62558.76427132303,False,True
42101009000,6405,6835,106713.50507416081,430,6713.505074160812,3636,56768.149882903985,2769,43231.85011709602,False,True
42101009100,2722,6919,254188.09698750917,579,21271.12417340191,2847,104592.21160911093,3493,128324.76120499632,False,True
42101009200,3640,11355,311950.5494505495,1323,36346.153846153844,3184,87472.52747252748,6848,188131.86813186813,False,True
42101009300,4890,21264,434846.62576687115,1741,35603.27198364009,2884,58977.505112474435,16639,340265.8486707566,False,True
42101009400,3926,14315,364620.4788588895,1546,39378.502292409576,2068,52674.47784004076,10701,272567.49872643914,False,True
42101009500,2996,14889,496962.61682242993,1274,42523.36448598131,1937,64652.870493991984,11678,389786.3818424566,False,True
42101009600,4118,18727,454759.5920349685,1790,43467.702768334144,3047,73992.22923749393,13890,337299.66002914036,False,True
42101009801,2372,3830,161467.11635750422,365,15387.85834738617,935,39418.212478920745,2530,106661.0455311973,False,True
42101009802,5660,5457,96413.42756183745,456,8056.537102473499,1834,32402.826855123672,3167,55954.06360424028,False,True
42101010000,4972,8546,171882.54223652452,815,16391.794046661304,2288,46017.69911504425,5443,109473.04907481899,False,True
42101010100,6332,15558,245704.35881238154,1429,22567.909033480733,2830,44693.61970941251,11299,178442.83006948832,False,True
42101010200,3404,13481,396034.0775558167,1285,37749.7062279671,2687,78936.54524089306,9509,279347.82608695654,False,True
42101010300,2698,11625,430874.72201630834,1134,42031.134173461825,1579,58524.83320978502,8912,330318.75463306153,False,True
42101010400,3905,10003,256158.7708066581,1120,28681.177976952626,2393,61280.40973111396,6490,166197.18309859154,False,True
42101010500,4445,11645,261979.75253093362,1255,28233.97075365579,2348,52823.397075365574,8042,180922.38470191226,False,True
42101010600,1668,7141,428117.5059952038,473,28357.314148681056,1143,68525.17985611511,5525,331235.01199040766,False,True
42101010700,3821,18822,492593.56189479196,1716,44909.709500130855,2999,78487.30698769956,14107,369196.5454069615,False,True
42101010800,4178,13579,325011.96744854,1348,32264.241263762568,2681,64169.459071326,9550,228578.26711345138,False,True
42101010900,2749,5645,205347.39905420155,620,22553.655874863587,1489,54165.15096398691,3536,128628.59221535103,False,True
42101011000,3346,6703,200328.7507471608,922,27555.28989838613,1673,50000.0,4108,122773.46084877464,False,True
42101011100,3791,23235,612898.9712476919,2009,52993.93299920865,6488,171142.17884463203,14738,388762.85940385127,False,True
42101011200,5949,14555,244662.96856614557,1540,25886.70364767188,2657,44662.96856614557,10358,174113.29635232812,False,True
42101011300,3387,7864,232181.87186300562,850,25095.95512252731,1770,52258.63596102745,5244,154827.28077945084,False,True
42101011400,6907,16825,243593.45591428987,1646,23830.896192268712,3624,52468.51020703634,11555,167294.0495149848,False,True
42101011500,4358,5648,129600.73428178062,624,14318.4947223497,1269,29118.86186324002,3755,86163.37769619092,False,True
42101011700,1956,2130,108895.70552147238,166,8486.707566462168,822,42024.539877300616,1142,58384.45807770961,False,True
42101011800,5565,9913,178131.17699910153,938,16855.345911949684,2115,38005.390835579514,6860,123270.44025157232,False,True
42101011900,5213,9890,189718.01266065604,1047,20084.40437368118,2486,47688.47112986764,6357,121945.13715710724,False,True
42101012000,2132,1883,88320.82551594746,150,7035.647279549718,846,39681.05065666041,887,41604.12757973734,False,True
42101012100,3257,3037,93245.31777709548,224,6877.494626957323,1216,37334.97083205404,1597,49032.85231808412,False,True
42101012201,2765,2389,86401.44665461121,130,4701.627486437613,1092,39493.670886075946,1167,42206.14828209765,False,True
42101012203,791,3787,478761.0619469026,197,24905.183312262958,2224,281163.0847029077,1366,172692.79393173198,False,True
42101012204,3873,4130,106635.68293312678,364,9398.399173767106,1325,34211.20578363026,2441,63026.07797572941,False,True
42101012501,2182,4202,192575.6186984418,223,10219.981668194318,1690,77451.87901008248,2289,104903.75802016498,False,True
42101012502,3467,8892,256475.33890972022,377,10873.954427458899,4009,115633.11220074992,4506,129968.2722815114,False,True
42101013100,1752,4075,232591.32420091325,397,22659.817351598173,1075,61358.447488584476,2603,148573.0593607306,False,True
42101013200,2643,8566,324101.39992432843,679,25690.503216042376,2367,89557.32122587968,5520,208853.57548240636,False,True
42101013300,3130,10350,330670.9265175719,835,26677.316293929714,3860,123322.6837060703,5655,180670.92651757188,False,True
42101013401,2790,3136,112401.43369175628,121,4336.917562724015,2096,75125.44802867384,919,32939.06810035842,False,True
42101013402,2887,5343,185071.00796674748,336,11638.378940076203,2808,97263.5954277797,2199,76169.03359889158,False,True
42101013500,4019,6787,168872.85394376708,489,12167.205772580242,2963,73724.80716596168,3335,82980.84100522519,False,True
42101013601,2864,2377,82995.81005586592,112,3910.6145251396647,1349,47101.95530726257,916,31983.240223463687,False,True
42101013602,4031,3549,88042.6693128256,244,6053.0885636318535,1823,45224.51004713471,1482,36765.07070205904,False,True
42101013701,1498,3361,224365.82109479306,241,16088.117489986647,1582,105607.47663551402,1538,102670.2269692924,False,True
42101013702,3507,8326,237410.8925007129,815,23239.23581408611,2620,74707.72740233818,4891,139463.92928428858,False,True
42101013800,1645,7964,484133.7386018237,720,43768.99696048632,2538,154285.7142857143,4706,286079.02735562314,False,True
42101013900,1797,7928,441179.7440178074,769,42793.54479688369,2761,153644.9638286032,4398,244741.23539232052,False,True
42101014000,3869,17757,458955.8025329542,1580,40837.425691393124,5636,145670.7159472732,10541,272447.6608942879,False,True
42101014100,2674,10277,384330.5908750935,1140,42632.75991024682,3612,135078.5340314136,5525,206619.29693343307,False,True
42101014201,3735,5118,137028.1124497992,287,7684.0696117804555,3209,85917.00133868807,1622,43427.041499330655,False,True
42101014202,2399,6412,267278.03251354734,401,16715.298040850354,3729,155439.76656940393,2282,95122.96790329304,False,True
42101014300,2021,3714,183770.41068777832,181,8955.962394854032,2183,108015.83374567045,1350,66798.61454725383,False,True
42101014400,4648,11137,239608.43373493975,933,20073.149741824443,5527,118911.35972461273,4677,100623.92426850257,False,True
42101014500,1962,3939,200764.5259938838,439,22375.12742099898,1212,61773.700305810395,2288,116615.6982670744,False,True
42101014600,4208,6518,154895.43726235742,536,12737.642585551332,3123,74215.77946768061,2859,67942.01520912547,False,True
42101014700,2537,15753,620930.2325581396,1537,60583.36618052819,5243,206661.41111549074,8973,353685.4552621206,False,True
42101014800,722,4859,672991.6897506925,532,73684.21052631579,987,136703.60110803324,3340,462603.87811634346,False,True
42101014900,4091,13571,331728.18381813733,1685,41187.97360058665,2988,73038.37692495722,8898,217501.83329259348,False,True
42101015101,1929,4965,257387.2472783826,600,31104.19906687403,1086,56298.60031104199,3279,169984.44790046656,False,True
42101015102,4884,14062,287919.73791973793,1918,39271.08927108927,2973,60872.23587223587,9171,187776.41277641276,False,True
42101015200,5738,19450,338968.28163123043,2631,45852.213314743814,4150,72324.85186476124,12669,220791.21645172534,False,True
42101015300,3913,17816,455302.8366981855,1777,45412.72680807564,7175,183363.14847942753,8864,226526.96141068236,False,True
